22.0622 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FFF3099EB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FFF3099E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FFF3099C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FFF86BB130>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.0622 	EXP 	window1: mouseVisible = True
22.0622 	EXP 	window1: backgroundImage = ''
22.0622 	EXP 	window1: backgroundFit = 'none'
22.0630 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.0630 	EXP 	window1: recordFrameIntervals = False
22.2286 	EXP 	window1: recordFrameIntervals = True
22.4120 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
22.4121 	EXP 	window1: recordFrameIntervals = False
22.4121 	EXP 	window1: mouseVisible = True
23.4226 	EXP 	2024_RDpaindiscrimination_maintask: status = STARTED
23.4228 	EXP 	window1: mouseVisible = True
23.4541 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
23.5620 	EXP 	window1: mouseVisible = True
