,neutral,z1,z2,z3,z4,z5
0,37.7,37.6,37.6,37.8,37.8,37.6
1,37.7,37.6,37.6,37.8,37.8,37.7
2,37.8,37.7,37.8,37.9,37.9,37.8
3,37.7,38.6,38.6,38.7,38.7,38.7
4,37.7,40.1,40.0,40.1,40.2,40.3
5,37.7,41.4,41.4,41.5,41.5,41.7
6,37.6,42.7,42.6,42.7,42.7,42.9
7,37.6,44.0,43.9,43.9,44.0,44.3
8,37.5,45.3,45.2,45.2,45.3,45.7
9,37.5,46.2,46.1,46.1,46.1,46.4
10,37.5,46.2,46.2,46.2,46.2,46.4
11,37.5,46.1,46.0,46.1,46.1,46.3
12,37.5,46.2,46.1,46.1,46.2,46.4
13,37.4,46.2,46.1,46.2,46.2,46.4
14,37.4,46.2,46.1,46.2,46.2,46.3
15,37.5,46.2,46.1,46.2,46.2,46.4
16,37.5,46.2,46.2,46.2,46.2,46.4
17,37.5,46.2,46.2,46.2,46.2,46.4
18,37.5,46.2,46.2,46.2,46.2,46.4
19,37.5,46.3,46.2,46.2,46.3,46.4
20,37.5,46.3,46.2,46.2,46.3,46.4
21,37.5,46.3,46.2,46.2,46.3,46.4
22,37.5,46.3,46.2,46.2,46.3,46.4
23,37.5,46.3,46.2,46.3,46.3,46.4
24,37.5,46.3,46.2,46.3,46.3,46.4
25,37.6,46.3,46.2,46.3,46.3,46.4
26,37.6,46.3,46.2,46.3,46.3,46.4
27,37.6,46.3,46.2,46.3,46.3,46.4
28,37.6,46.3,46.2,46.3,46.3,46.4
29,37.6,46.3,46.2,46.3,46.3,46.4
30,37.6,46.3,46.3,46.3,46.3,46.4
31,37.6,46.3,46.3,46.3,46.3,46.4
32,37.6,46.3,46.3,46.3,46.3,46.4
33,37.6,46.3,46.3,46.3,46.3,46.4
34,37.6,46.3,46.3,46.3,46.3,46.4
35,37.6,46.3,46.3,46.3,46.3,46.4
36,37.6,46.3,46.3,46.3,46.3,46.4
37,37.6,46.3,46.3,46.3,46.3,46.4
38,37.6,46.3,46.3,46.3,46.3,46.4
39,37.6,46.3,46.3,46.3,46.3,46.4
40,37.7,46.3,46.3,46.3,46.3,46.4
41,37.7,46.3,46.3,46.3,46.3,46.4
42,37.6,46.3,46.3,46.3,46.3,46.4
43,37.7,46.3,46.3,46.3,46.3,46.4
44,37.7,46.3,46.3,46.3,46.3,46.4
45,37.7,46.3,46.3,46.3,46.3,46.4
46,37.7,46.6,46.5,46.6,46.6,46.7
47,37.7,47.3,47.2,47.2,47.3,47.5
48,37.6,47.6,47.5,47.5,47.6,47.7
49,37.6,47.4,47.4,47.4,47.4,47.5
50,37.6,47.4,47.3,47.4,47.4,47.5
51,37.6,47.5,47.4,47.4,47.5,47.6
52,37.6,47.5,47.4,47.4,47.5,47.5
53,37.6,47.4,47.4,47.4,47.4,47.5
54,37.6,47.5,47.4,47.4,47.5,47.6
55,37.6,47.4,47.4,47.4,47.5,47.6
56,37.6,47.1,47.1,47.1,47.1,47.2
57,37.7,46.4,46.5,46.5,46.5,46.5
58,37.7,46.2,46.2,46.2,46.2,46.3
59,37.7,46.4,46.3,46.4,46.4,46.5
60,37.7,46.4,46.4,46.4,46.4,46.4
61,37.7,46.3,46.3,46.3,46.3,46.4
62,37.7,46.4,46.3,46.4,46.4,46.5
63,37.7,46.4,46.4,46.4,46.4,46.5
64,37.7,46.4,46.4,46.4,46.4,46.4
65,37.7,46.4,46.3,46.4,46.4,46.4
66,37.7,46.4,46.4,46.4,46.4,46.5
67,37.7,46.4,46.4,46.4,46.4,46.4
68,37.7,46.4,46.4,46.4,46.4,46.4
69,37.7,46.4,46.4,46.4,46.4,46.5
70,37.7,46.4,46.4,46.4,46.4,46.4
71,37.7,46.4,46.4,46.4,46.4,46.4
72,37.7,46.4,46.4,46.4,46.4,46.4
73,37.7,46.4,46.4,46.4,46.4,46.4
74,37.7,46.4,46.4,46.4,46.4,46.4
75,37.7,46.4,46.4,46.4,46.4,46.4
76,37.7,46.4,46.4,46.4,46.4,46.5
77,37.7,46.4,46.4,46.4,46.4,46.5
78,37.7,46.5,46.4,46.4,46.5,46.5
79,37.7,46.5,46.5,46.5,46.5,46.5
80,37.7,46.5,46.5,46.5,46.5,46.5
81,37.7,46.5,46.5,46.5,46.5,46.5
82,37.7,46.5,46.5,46.5,46.5,46.5
83,37.7,46.5,46.5,46.5,46.5,46.5
84,37.7,46.5,46.5,46.5,46.5,46.5
85,37.7,46.5,46.5,46.5,46.5,46.5
86,37.8,46.5,46.5,46.5,46.5,46.5
87,37.8,46.5,46.5,46.5,46.4,46.5
88,37.8,46.5,46.5,46.5,46.5,46.5
89,37.8,46.5,46.5,46.5,46.5,46.5
90,37.8,46.5,46.4,46.4,46.5,46.5
91,37.8,46.5,46.1,45.9,46.4,46.5
92,37.8,46.5,45.9,45.7,46.3,46.5
93,37.7,46.4,46.0,46.0,46.2,46.5
94,37.7,46.4,46.1,46.1,46.1,46.5
95,37.7,46.4,46.0,45.9,46.1,46.5
96,37.7,46.5,46.1,46.0,46.1,46.5
97,37.7,46.5,46.1,46.1,46.0,46.5
98,37.7,45.6,45.4,45.4,45.4,45.6
99,37.7,41.1,41.6,41.5,41.4,41.1
100,37.9,36.6,37.5,37.4,37.2,36.6
101,38.0,37.3,37.2,37.3,37.2,37.4
102,38.0,38.7,38.4,38.4,38.4,38.7
103,38.1,37.5,38.2,38.1,37.9,37.5
104,38.1,37.3,37.6,37.6,37.4,37.3
