,neutral,z1,z2,z3,z4,z5
0,37.7,37.6,37.6,37.6,37.6,37.6
1,37.7,37.6,37.6,37.6,37.6,37.6
2,37.7,37.8,37.8,37.8,37.8,37.8
3,37.7,38.7,38.6,38.6,38.6,38.8
4,37.7,40.2,40.0,40.1,40.0,40.3
5,37.7,41.5,41.4,41.4,41.4,41.7
6,37.6,42.8,42.7,42.7,42.7,43.0
7,37.6,44.1,43.9,43.9,43.9,44.4
8,37.5,45.4,45.2,45.2,45.2,45.7
9,37.5,46.2,46.1,46.1,46.1,46.4
10,37.4,46.2,46.1,46.1,46.2,46.4
11,37.4,46.1,46.0,46.0,46.0,46.3
12,37.4,46.2,46.1,46.1,46.1,46.4
13,37.4,46.2,46.1,46.1,46.2,46.4
14,37.4,46.2,46.1,46.1,46.1,46.3
15,37.4,46.2,46.1,46.2,46.2,46.4
16,37.4,46.3,46.2,46.2,46.2,46.4
17,37.4,46.3,46.2,46.2,46.2,46.4
18,37.5,46.3,46.2,46.2,46.2,46.4
19,37.5,46.3,46.2,46.2,46.2,46.4
20,37.5,46.3,46.2,46.2,46.2,46.4
21,37.5,46.3,46.2,46.2,46.2,46.4
22,37.5,46.3,46.2,46.2,46.2,46.4
23,37.5,46.3,46.2,46.2,46.3,46.4
24,37.5,46.3,46.2,46.3,46.3,46.4
25,37.6,46.3,46.2,46.3,46.3,46.4
26,37.6,46.3,46.2,46.3,46.3,46.4
27,37.6,46.3,46.2,46.3,46.3,46.4
28,37.6,46.3,46.2,46.3,46.3,46.4
29,37.6,46.3,46.2,46.3,46.3,46.4
30,37.6,46.3,46.2,46.3,46.3,46.4
31,37.6,46.3,46.3,46.3,46.3,46.4
32,37.6,46.3,46.3,46.3,46.3,46.4
33,37.6,46.3,46.3,46.3,46.3,46.4
34,37.6,46.3,46.3,46.3,46.3,46.4
35,37.6,46.3,46.3,46.3,46.3,46.4
36,37.6,46.3,46.3,46.3,46.3,46.4
37,37.6,46.3,46.3,46.3,46.3,46.4
38,37.6,46.3,46.3,46.3,46.3,46.4
39,37.6,46.3,46.3,46.3,46.3,46.4
40,37.6,46.3,46.3,46.3,46.3,46.4
41,37.6,46.3,46.3,46.3,46.3,46.4
42,37.6,46.3,46.3,46.3,46.3,46.4
43,37.6,46.3,46.3,46.3,46.3,46.4
44,37.6,46.3,46.3,46.3,46.3,46.4
45,37.6,46.3,46.3,46.3,46.3,46.4
46,37.6,46.3,46.3,46.3,46.3,46.4
47,37.6,46.3,46.3,46.3,46.3,46.4
48,37.6,46.5,46.4,46.5,46.5,46.6
49,37.6,46.9,46.8,46.8,46.8,47.0
50,37.6,47.0,47.0,47.0,47.0,47.1
51,37.6,46.9,46.9,46.9,46.9,47.0
52,37.6,46.9,46.9,46.9,46.9,47.0
53,37.6,47.0,46.9,46.9,46.9,47.1
54,37.6,47.0,46.9,46.9,46.9,47.0
55,37.6,47.0,46.9,46.9,46.9,47.0
56,37.6,47.0,46.9,46.9,46.9,47.1
57,37.6,47.0,46.9,46.9,46.9,47.0
58,37.6,46.8,46.7,46.8,46.8,46.8
59,37.6,46.4,46.4,46.4,46.4,46.4
60,37.7,46.3,46.2,46.3,46.3,46.3
61,37.7,46.4,46.3,46.4,46.4,46.5
62,37.7,46.4,46.4,46.4,46.4,46.4
63,37.7,46.4,46.3,46.3,46.3,46.4
64,37.7,46.4,46.3,46.3,46.4,46.4
65,37.7,46.4,46.4,46.4,46.4,46.4
66,37.7,46.4,46.3,46.4,46.4,46.4
67,37.7,46.4,46.3,46.3,46.4,46.4
68,37.7,46.4,46.3,46.3,46.4,46.4
69,37.7,46.4,46.3,46.3,46.4,46.4
70,37.7,46.4,46.3,46.3,46.4,46.5
71,37.7,46.4,46.3,46.3,46.4,46.5
72,37.7,46.4,46.3,46.3,46.4,46.4
73,37.7,46.4,46.3,46.3,46.4,46.4
74,37.7,46.4,46.3,46.3,46.4,46.5
75,37.7,46.4,46.3,46.3,46.4,46.5
76,37.7,46.4,46.3,46.3,46.4,46.4
77,37.7,46.4,46.3,46.3,46.4,46.5
78,37.7,46.4,46.3,46.3,46.4,46.5
79,37.7,46.5,46.4,46.3,46.4,46.5
80,37.7,46.5,46.4,46.4,46.5,46.5
81,37.7,46.5,46.5,46.5,46.5,46.5
82,37.7,46.5,46.5,46.5,46.5,46.5
83,37.7,46.5,46.5,46.5,46.5,46.5
84,37.7,46.5,46.5,46.5,46.5,46.5
85,37.7,46.4,46.4,46.4,46.5,46.5
86,37.7,46.2,46.0,46.1,46.5,46.5
87,37.7,46.1,45.8,45.9,46.4,46.5
88,37.7,46.0,45.9,45.9,46.1,46.5
89,37.7,46.0,45.9,45.9,45.9,46.5
90,37.7,46.0,45.9,45.9,45.9,46.4
91,37.6,46.0,45.9,46.0,46.0,46.4
92,37.6,46.0,46.0,46.0,46.0,46.4
93,37.6,46.1,46.0,46.0,46.0,46.4
94,37.6,46.1,46.0,46.1,46.1,46.4
95,37.6,46.1,46.1,46.1,46.1,46.4
96,37.6,46.1,46.1,46.1,46.1,46.4
97,37.6,46.1,46.1,46.1,46.1,46.4
98,37.6,45.9,45.9,45.9,45.9,46.1
99,37.6,43.0,43.3,43.2,43.1,42.9
100,37.8,38.2,38.6,38.5,38.3,37.5
101,37.9,36.9,37.0,37.0,37.0,36.7
102,38.0,38.2,38.1,38.1,38.2,38.6
103,38.0,38.2,38.3,38.3,38.3,37.8
104,38.1,37.5,37.8,37.7,37.6,37.1
